title	developer	publisher	release date	
Ever Oasis	Grezzo	Nintendo	<span data-sort-value="000000002017-06-23-0000" style="white-space:nowrap">June 23, 2017	
RPG Maker Player	Kadokawa Games	Kadokawa Games, NIS AmericaNA, EU	<span data-sort-value="000000002017-06-22-0000" style="white-space:nowrap">June 22, 2017	
River City: Knights of Justice	Natsume	Arc System Works	<span data-sort-value="000000002017-06-20-0000" style="white-space:nowrap">June 20, 2017	
Runbow Pocket	13AM Games	13AM Games	<span data-sort-value="000000002017-06-20-0000" style="white-space:nowrap">June 20, 2017	
I am an Air Traffic controller Airport Hero Osaka-Kix	Sonic Powered	Sonic Powered	<span data-sort-value="000000002017-06-15-0000" style="white-space:nowrap">June 15, 2017	
Anime Workshop	Collavier Corporation	Collavier Corporation	<span data-sort-value="000000002017-06-08-0000" style="white-space:nowrap">June 8, 2017	
Farming Simulator 18	Giants Software	Focus Home Interactive, IntergrowJP	<span data-sort-value="000000002017-06-06-0000" style="white-space:nowrap">June 6, 2017	
Of Mice and Sand	Arc System Works	Circle Entertainment	<span data-sort-value="000000002017-06-01-0000" style="white-space:nowrap">June 1, 2017	
Drone Fight	Silver Star	Silver Star, Circle EntertainmentNA	<span data-sort-value="000000002017-05-25-0000" style="white-space:nowrap">May 25, 2017	
Fire Emblem Echoes: Shadows of Valentia	Intelligent Systems, Nintendo SPD	Nintendo	<span data-sort-value="000000002017-05-19-0000" style="white-space:nowrap">May 19, 2017	
DodgeBox	Bidement Entertainment	Bidement Entertainment	<span data-sort-value="000000002017-05-18-0000" style="white-space:nowrap">May 18, 2017	
Drancia Saga	Urara-works	Circle Entertainment, Flyhigh WorksJP	<span data-sort-value="000000002017-05-18-0000" style="white-space:nowrap">May 18, 2017	
Mysterious Stars 3D: A Fairy Tale	Collavier	Collavier Corporation	<span data-sort-value="000000002017-05-18-0000" style="white-space:nowrap">May 18, 2017	
Mysterious Stars 3D: Road to Idol	Collavier	Collavier Corporation	<span data-sort-value="000000002017-05-18-0000" style="white-space:nowrap">May 18, 2017	
Cooking Mama: Sweet Shop	Office Create	Rising Star Games, Office CreateJP	<span data-sort-value="000000002017-05-16-0000" style="white-space:nowrap">May 16, 2017	
Elliot Quest	Ansimuz Games	PlayEveryWare Games	<span data-sort-value="000000002017-05-11-0000" style="white-space:nowrap">May 11, 2017	
Infinite Golf	Petite Games	Petite Games	<span data-sort-value="000000002017-05-04-0000" style="white-space:nowrap">May 4, 2017	
'Don''t Crash Go'	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-04-20-0000" style="white-space:nowrap">April 20, 2017	
Ping Pong Trick Shot 2	Starsign	Starsign	<span data-sort-value="000000002017-04-20-0000" style="white-space:nowrap">April 20, 2017	
Urban Trial Freestyle 2	Tate Multimedia	Tate Multimedia, Flyhigh WorksJP	<span data-sort-value="000000002017-04-20-0000" style="white-space:nowrap">April 20, 2017	
Ascent of Kings	Nostatic Software	Nostatic Software	<span data-sort-value="000000002017-04-13-0000" style="white-space:nowrap">April 13, 2017	
Bingo Collection	Sims	Starsign	<span data-sort-value="000000002017-04-13-0000" style="white-space:nowrap">April 13, 2017	
