title	developer	publisher	release date	
Code of Princess	Agatsuma Entertainment, Bones	Agatsuma EntertainmentJP, AtlusNA	<span data-sort-value="000000002012-10-09-0000" style="white-space:nowrap">October 9, 2012	
Harvest Moon: A New Beginning	Marvelous AQL	Natsume	<span data-sort-value="000000002012-10-09-0000" style="white-space:nowrap">October 9, 2012	
Imagine: Babyz	Ubisoft Milan	Ubisoft	<span data-sort-value="000000002012-10-09-0000" style="white-space:nowrap">October 9, 2012	
Monster 4x4	Ubisoft	Ubisoft	<span data-sort-value="000000002012-10-09-0000" style="white-space:nowrap">October 9, 2012	
Spy Hunter	TT Fusion	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002012-10-09-0000" style="white-space:nowrap">October 9, 2012	
Top Trumps: NBA All Stars	Ideas Pad	GMG Play	<span data-sort-value="000000002012-10-08-0000" style="white-space:nowrap">October 8, 2012	
Samurai G	UFO Interactive Games	UFO Interactive Games	<span data-sort-value="000000002012-10-04-0000" style="white-space:nowrap">October 4, 2012	
Art Academy: Lessons for Everyone!	Headstrong Games	Nintendo	<span data-sort-value="000000002012-10-01-0000" style="white-space:nowrap">October 1, 2012	
Crosswords Plus	Nintendo	Nintendo	<span data-sort-value="000000002012-10-01-0000" style="white-space:nowrap">October 1, 2012	
The Denpa Men: They Came By Wave	Genius Sonority	Genius Sonority	<span data-sort-value="000000002012-09-27-0000" style="white-space:nowrap">September 27, 2012	
Hitori by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-09-27-0000" style="white-space:nowrap">September 27, 2012	
Angry Birds Trilogy	Rovio Entertainment, Exient Entertainment	Activision	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
Disney Princess: My Fairytale Adventure	Disney Interactive Studios	Disney Interactive Studios	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
FIFA Soccer 13	EA Canada	Electronic Arts	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
Hotel Transylvania	WayForward Technologies	GameMill Entertainment	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
Lalaloopsy: Carnival of Friends	Activision	Activision	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
Puzzler World 2012 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
Wipeout 3	Activision	Activision	<span data-sort-value="000000002012-09-25-0000" style="white-space:nowrap">September 25, 2012	
Rising Board 3D	Odenis Studio	Odenis Studio	<span data-sort-value="000000002012-09-20-0000" style="white-space:nowrap">September 20, 2012	
NCIS 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002012-09-18-0000" style="white-space:nowrap">September 18, 2012	
Fractured Soul	Endgame Studios	Endgame Studios, CyberFrontJP	<span data-sort-value="000000002012-09-13-0000" style="white-space:nowrap">September 13, 2012	
Heavy Fire: Special Operations 3D	Teyon	Teyon	<span data-sort-value="000000002012-09-13-0000" style="white-space:nowrap">September 13, 2012	
Finding Nemo: Escape to the Big Blue Special Edition	Disney Interactive Studios	Disney Interactive Studios	<span data-sort-value="000000002012-09-11-0000" style="white-space:nowrap">September 11, 2012	
Balloon Pop Remix	UFO Interactive Games	UFO Interactive Games	<span data-sort-value="000000002012-09-06-0000" style="white-space:nowrap">September 6, 2012	
Heyawake by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-09-06-0000" style="white-space:nowrap">September 6, 2012	
Outdoors Unleashed: Africa 3D	Teyon	Teyon	<span data-sort-value="000000002012-08-30-0000" style="white-space:nowrap">August 30, 2012	
SpeedX 3D	Gamelion Studios	Gamelion Studios, TeyonJP	<span data-sort-value="000000002012-08-30-0000" style="white-space:nowrap">August 30, 2012	
VectorRacing	Arc System Works	Arc System Works	<span data-sort-value="000000002012-08-23-0000" style="white-space:nowrap">August 23, 2012	
New Super Mario Bros. 2	Nintendo EAD	Nintendo	<span data-sort-value="000000002012-08-19-0000" style="white-space:nowrap">August 19, 2012	
Crazy Chicken Pirates 3D	Teyon	Teyon	<span data-sort-value="000000002012-08-16-0000" style="white-space:nowrap">August 16, 2012	
Real Heroes: Firefighter 3D	Epicenter Studios	Conspiracy Entertainment	<span data-sort-value="000000002012-08-10-0000" style="white-space:nowrap">August 10, 2012	
Touch Battle Tank 3D	Silver Star	Silver Star, Agetec	<span data-sort-value="000000002012-08-09-0000" style="white-space:nowrap">August 9, 2012	
Kingdom Hearts 3D: Dream Drop Distance	Square Enix	Square Enix	<span data-sort-value="000000002012-07-31-0000" style="white-space:nowrap">July 31, 2012	
Dot Runner: Complete Edition	Intense	Intense	<span data-sort-value="000000002012-07-26-0000" style="white-space:nowrap">July 26, 2012	
Planet Crashers	Renegade Kid	Ignition Entertainment	<span data-sort-value="000000002012-07-26-0000" style="white-space:nowrap">July 26, 2012	
Masyu by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-07-19-0000" style="white-space:nowrap">July 19, 2012	
The Phantom Thief Stina and 30 Jewels	Silver Star	Silver Star, Agetec	<span data-sort-value="000000002012-07-19-0000" style="white-space:nowrap">July 19, 2012	
Heroes of Ruin	n-Space	Square Enix	<span data-sort-value="000000002012-07-17-0000" style="white-space:nowrap">July 17, 2012	
Johnny Kung Fu	UFO Interactive Games	UFO Interactive Games, CyberfrontJP	<span data-sort-value="000000002012-07-12-0000" style="white-space:nowrap">July 12, 2012	
Sweet Memories Blackjack	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002012-07-12-0000" style="white-space:nowrap">July 12, 2012	
Ice Age: Continental Drift – Arctic Games	Behaviour Interactive	Activision	<span data-sort-value="000000002012-07-10-0000" style="white-space:nowrap">July 10, 2012	
'Rhythm Thief & the Emperor''s Treasure'	Sega, Xeen	Sega	<span data-sort-value="000000002012-07-10-0000" style="white-space:nowrap">July 10, 2012	
Akari by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-07-05-0000" style="white-space:nowrap">July 5, 2012	
Family Tennis 3D	Arc System Works	Arc System Works	<span data-sort-value="000000002012-07-05-0000" style="white-space:nowrap">July 5, 2012	
Theatrhythm Final Fantasy	Square Enix, indieszero	Square Enix	<span data-sort-value="000000002012-07-03-0000" style="white-space:nowrap">July 3, 2012	
Bomb Monkey	Renegade Kid	Renegade Kid	<span data-sort-value="000000002012-06-28-0000" style="white-space:nowrap">June 28, 2012	
Marvel Pinball 3D	Zen Studios	Zen Studios	<span data-sort-value="000000002012-06-28-0000" style="white-space:nowrap">June 28, 2012	
The Amazing Spider-Man	Beenox	Activision	<span data-sort-value="000000002012-06-26-0000" style="white-space:nowrap">June 26, 2012	
Jewel Master: Cradle of Rome 2 3D	Cerasus Media	Rising Star Games	<span data-sort-value="000000002012-06-26-0000" style="white-space:nowrap">June 26, 2012	
Order Up!!	SuperVillain Studios	FunBox Media, UTV Ignition EntertainmentNA	<span data-sort-value="000000002012-06-21-0000" style="white-space:nowrap">June 21, 2012	
Slitherlink by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-06-21-0000" style="white-space:nowrap">June 21, 2012	
Lego Batman 2: DC Super Heroes	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002012-06-19-0000" style="white-space:nowrap">June 19, 2012	
Mad Dog McCree	Engine Software	Digital Leisure	<span data-sort-value="000000002012-06-14-0000" style="white-space:nowrap">June 14, 2012	
Art of Balance Touch!	'Shin''en Multimedia'	'Shin''en Multimedia, Arc System WorksJP'	<span data-sort-value="000000002012-06-07-0000" style="white-space:nowrap">June 7, 2012	
DreamWorks Madagascar 3: The Video Game	Torus Games	D3 Publisher	<span data-sort-value="000000002012-06-05-0000" style="white-space:nowrap">June 5, 2012	
Kakuro by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-05-31-0000" style="white-space:nowrap">May 31, 2012	
Deer Drive Legends	Raylight Studios	Maximum Games	<span data-sort-value="000000002012-05-27-0000" style="white-space:nowrap">May 27, 2012	
Mario Tennis Open	Camelot	Nintendo	<span data-sort-value="000000002012-05-20-0000" style="white-space:nowrap">May 20, 2012	
Battleship	Magic Pockets	Activision	<span data-sort-value="000000002012-05-15-0000" style="white-space:nowrap">May 15, 2012	
Purr Pals: Purrfection	Brain Toys	THQ	<span data-sort-value="000000002012-05-12-0000" style="white-space:nowrap">May 12, 2012	
Sudoku by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-05-10-0000" style="white-space:nowrap">May 10, 2012	
Bird Mania 3D	Teyon	Teyon	<span data-sort-value="000000002012-05-03-0000" style="white-space:nowrap">May 3, 2012	
Block Factory	Enjoy Gaming	Enjoy Gaming	<span data-sort-value="000000002012-04-26-0000" style="white-space:nowrap">April 26, 2012	
50 Classic Games 3D	Avanquest Software	Avanquest SoftwareEU, Maximum Family GamesNA	<span data-sort-value="000000002012-04-24-0000" style="white-space:nowrap">April 24, 2012	
Shifting World	Fishing Cactus	Aksys Games	<span data-sort-value="000000002012-04-24-0000" style="white-space:nowrap">April 24, 2012	
Spirit Camera: The Cursed Memoir	Tecmo Koei	Nintendo	<span data-sort-value="000000002012-04-13-0000" style="white-space:nowrap">April 13, 2012	
'Ketzal''s Corridors'	Keys Factory	Nintendo	<span data-sort-value="000000002012-04-12-0000" style="white-space:nowrap">April 12, 2012	
Colors! 3D	Collecting Smiles	Collecting Smiles	<span data-sort-value="000000002012-04-05-0000" style="white-space:nowrap">April 5, 2012	
Funky Barn 3D	Tantalus Interactive	Ubisoft	<span data-sort-value="000000002012-04-03-0000" style="white-space:nowrap">April 3, 2012	
Arc Style: Soccer 3D	Arc System Works	Arc System Works	<span data-sort-value="000000002012-03-29-0000" style="white-space:nowrap">March 29, 2012	
Alien Chaos 3D	Ludosity	GMG Play	<span data-sort-value="000000002012-03-27-0000" style="white-space:nowrap">March 27, 2012	
Boulder Dash-XL 3D	Giant Media Group	Giant Media Group	<span data-sort-value="000000002012-03-27-0000" style="white-space:nowrap">March 27, 2012	
Horses 3D	Neko Entertainment	Ubisoft	<span data-sort-value="000000002012-03-27-0000" style="white-space:nowrap">March 27, 2012	
Kid Icarus: Uprising	Project Sora, Sora Ltd.	Nintendo	<span data-sort-value="000000002012-03-23-0000" style="white-space:nowrap">March 23, 2012	
Zombie Slayer Diox	UFO Interactive Games	UFO Interactive Games, CyberfrontJP	<span data-sort-value="000000002012-03-22-0000" style="white-space:nowrap">March 22, 2012	
'Let''s Ride! Best in Breed 3D'	Smackdown Productions	THQ	<span data-sort-value="000000002012-03-20-0000" style="white-space:nowrap">March 20, 2012	
Paws & Claws: Pampered Pets Resort 3D	Neopica	THQ	<span data-sort-value="000000002012-03-20-0000" style="white-space:nowrap">March 20, 2012	
Fun! Fun! Minigolf Touch	'Shin''en Multimedia'	'Shin''en Multimedia, CyberfrontJP'	<span data-sort-value="000000002012-03-08-0000" style="white-space:nowrap">March 8, 2012	
Crush 3D	Zoë Mode	Sega	<span data-sort-value="000000002012-03-06-0000" style="white-space:nowrap">March 6, 2012	
Nicktoons MLB 3D	Black Lantern Studios	2K Play	<span data-sort-value="000000002012-03-06-0000" style="white-space:nowrap">March 6, 2012	
'Dillon''s Rolling Western'	Vanpool	Nintendo	<span data-sort-value="000000002012-02-22-0000" style="white-space:nowrap">February 22, 2012	
Metal Gear Solid: Snake Eater 3D	Kojima Productions	Konami	<span data-sort-value="000000002012-02-21-0000" style="white-space:nowrap">February 21, 2012	
Pro Evolution Soccer 2012	Konami	Konami	<span data-sort-value="000000002012-02-21-0000" style="white-space:nowrap">February 21, 2012	
Mario & Sonic at the London 2012 Olympic Games	Sega	Sega, NintendoJP	<span data-sort-value="000000002012-02-14-0000" style="white-space:nowrap">February 14, 2012	
Tales of the Abyss	Namco Tales Studio	Bandai Namco Games	<span data-sort-value="000000002012-02-14-0000" style="white-space:nowrap">February 14, 2012	
Tekken 3D: Prime Edition	Arika, Bandai Namco Games	Bandai Namco Games	<span data-sort-value="000000002012-02-14-0000" style="white-space:nowrap">February 14, 2012	
Resident Evil: Revelations	Capcom, Tose	Capcom	<span data-sort-value="000000002012-02-07-0000" style="white-space:nowrap">February 7, 2012	
Sakura Samurai: Art of the Sword	Nintendo	Nintendo	<span data-sort-value="000000002012-02-02-0000" style="white-space:nowrap">February 2, 2012	
Mutant Mudds	Renegade Kid	Renegade Kid	<span data-sort-value="000000002012-01-26-0000" style="white-space:nowrap">January 26, 2012	
My Pet Puppy 3D	Starfish SD	505 Games	<span data-sort-value="000000002012-01-24-0000" style="white-space:nowrap">January 24, 2012	
Zen Pinball 3D	Zen Studios	Zen Studios	<span data-sort-value="000000002012-01-12-0000" style="white-space:nowrap">January 12, 2012	
Samurai Sword Destiny	UFO Interactive Games	UFO Interactive Games, CyberfrontJP	<span data-sort-value="000000002012-01-05-0000" style="white-space:nowrap">January 5, 2012	
VVVVVV	Nicalis	Nicalis	<span data-sort-value="000000002011-12-29-0000" style="white-space:nowrap">December 29, 2011	
Mighty Switch Force!	WayForward Technologies	WayForward Technologies, IntergrowJP	<span data-sort-value="000000002011-12-22-0000" style="white-space:nowrap">December 22, 2011	
Heavy Fire: The Chosen Few	Teyon	Mastiff	<span data-sort-value="000000002011-12-19-0000" style="white-space:nowrap">December 19, 2011	
The Oregon Trail	SVG Distribution	Crave Entertainment	<span data-sort-value="000000002011-12-13-0000" style="white-space:nowrap">December 13, 2011	
Pushmo	Intelligent Systems	Nintendo	<span data-sort-value="000000002011-12-08-0000" style="white-space:nowrap">December 8, 2011	
The Adventures of Tintin: The Game	Ubisoft	Ubisoft	<span data-sort-value="000000002011-12-06-0000" style="white-space:nowrap">December 6, 2011	
Doctor Lautrec and the Forgotten Knights	Konami, Winkysoft	Konami	<span data-sort-value="000000002011-12-06-0000" style="white-space:nowrap">December 6, 2011	
Face Racers: Photo Finish	Renegade Kid	Majesco Entertainment	<span data-sort-value="000000002011-12-06-0000" style="white-space:nowrap">December 6, 2011	
Mario Kart 7	Nintendo EAD, Retro Studios	Nintendo	<span data-sort-value="000000002011-12-04-0000" style="white-space:nowrap">December 4, 2011	
Jaws: Ultimate Predator	n-Space	Majesco Entertainment	<span data-sort-value="000000002011-12-01-0000" style="white-space:nowrap">December 1, 2011	
Nano Assault	'Shin''en Multimedia'	Majesco Entertainment	<span data-sort-value="000000002011-12-01-0000" style="white-space:nowrap">December 1, 2011	
F1 2011	Codemasters Birmingham	Codemasters	<span data-sort-value="000000002011-11-25-0000" style="white-space:nowrap">November 25, 2011	
Sonic Generations	Sonic Team, Dimps	Sega	<span data-sort-value="000000002011-11-22-0000" style="white-space:nowrap">November 22, 2011	
WWE All Stars	Subdued Software	THQ	<span data-sort-value="000000002011-11-22-0000" style="white-space:nowrap">November 22, 2011	
Carnival Games: Wild West 3D	Cat Daddy Games	2K Play	<span data-sort-value="000000002011-11-21-0000" style="white-space:nowrap">November 21, 2011	
Cooking Mama 4: Kitchen Magic	Cooking Mama Limited	Majesco Entertainment, Office CreateJP, 505 GamesPAL	<span data-sort-value="000000002011-11-16-0000" style="white-space:nowrap">November 16, 2011	
Ace Combat: Assault Horizon Legacy	Access Games	Bandai Namco Games	<span data-sort-value="000000002011-11-15-0000" style="white-space:nowrap">November 15, 2011	
DreamWorks Super Star Kartz	High Impact Games	Activision	<span data-sort-value="000000002011-11-15-0000" style="white-space:nowrap">November 15, 2011	
Need for Speed: The Run	Firebrand Games	Electronic Arts	<span data-sort-value="000000002011-11-15-0000" style="white-space:nowrap">November 15, 2011	
Shinobi 3D	Griptonite Games	Sega	<span data-sort-value="000000002011-11-15-0000" style="white-space:nowrap">November 15, 2011	
Super Mario 3D Land	Nintendo EAD	Nintendo	<span data-sort-value="000000002011-11-13-0000" style="white-space:nowrap">November 13, 2011	
Lego Harry Potter: Years 5–7	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002011-11-11-0000" style="white-space:nowrap">November 11, 2011	
Freakyforms: Your Creations, Alive!	Asobism	Nintendo	<span data-sort-value="000000002011-11-10-0000" style="white-space:nowrap">November 10, 2011	
Cave Story 3D	Nicalis	NIS America	<span data-sort-value="000000002011-11-08-0000" style="white-space:nowrap">November 8, 2011	
Gem Smashers	Frame Studios Interactive	Red Wagon Games	<span data-sort-value="000000002011-11-08-0000" style="white-space:nowrap">November 8, 2011	
Happy Feet Two	WayForward Technologies	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002011-11-08-0000" style="white-space:nowrap">November 8, 2011	
Michael Jackson: The Experience	Ubisoft	Ubisoft	<span data-sort-value="000000002011-11-08-0000" style="white-space:nowrap">November 8, 2011	
Pac-Man Party 3D	Namco Networks	Bandai Namco Games	<span data-sort-value="000000002011-11-08-0000" style="white-space:nowrap">November 8, 2011	
Puppies 3D	MTO	Ubisoft	<span data-sort-value="000000002011-11-08-0000" style="white-space:nowrap">November 8, 2011	
The Hidden	1st Playable Productions	Majesco Entertainment	<span data-sort-value="000000002011-11-03-0000" style="white-space:nowrap">November 3, 2011	
Cars 2	Firebrand Games	Disney Interactive Studios	<span data-sort-value="000000002011-11-01-0000" style="white-space:nowrap">November 1, 2011	
Centipede: Infestation	WayForward Technologies	Atari, SA	<span data-sort-value="000000002011-11-01-0000" style="white-space:nowrap">November 1, 2011	
Generator Rex: Agent of Providence	Virtuos	Activision	<span data-sort-value="000000002011-11-01-0000" style="white-space:nowrap">November 1, 2011	
Harvest Moon: The Tale of Two Towns	Marvelous Entertainment	Natsume	<span data-sort-value="000000002011-11-01-0000" style="white-space:nowrap">November 1, 2011	
'James Noir''s Hollywood Crimes'	Ubisoft Montreal	Ubisoft	<span data-sort-value="000000002011-11-01-0000" style="white-space:nowrap">November 1, 2011	
NASCAR Unleashed	Firebrand Games	Activision	<span data-sort-value="000000002011-11-01-0000" style="white-space:nowrap">November 1, 2011	
Pyramids	Visual Impact	Enjoy Gaming	<span data-sort-value="000000002011-10-27-0000" style="white-space:nowrap">October 27, 2011	
'Angler''s Club: Ultimate Bass Fishing 3D'	Tamsoft	Bandai Namco, D3 Publisher	<span data-sort-value="000000002011-10-25-0000" style="white-space:nowrap">October 25, 2011	
Captain America: Super Soldier	Next Level Games	Sega	<span data-sort-value="000000002011-10-25-0000" style="white-space:nowrap">October 25, 2011	
'Nikoli''s Pencil Puzzle'	Hudson Soft	Hudson Soft, Konami	<span data-sort-value="000000002011-10-25-0000" style="white-space:nowrap">October 25, 2011	
Zoo Resort 3D	AQ Interactive	Ubisoft, Marvelous EntertainmentJP	<span data-sort-value="000000002011-10-25-0000" style="white-space:nowrap">October 25, 2011	
Pokémon Rumble Blast	Ambrella	The Pokémon Company	<span data-sort-value="000000002011-10-24-0000" style="white-space:nowrap">October 24, 2011	
Ben 10: Galactic Racing	Monkey Bar Games	D3 Publisher, Bandai Namco	<span data-sort-value="000000002011-10-18-0000" style="white-space:nowrap">October 18, 2011	
Pet Zombies	1st Playable Productions	Majesco Entertainment	<span data-sort-value="000000002011-10-18-0000" style="white-space:nowrap">October 18, 2011	
The Sims 3: Pets	Electronic Arts, Edge of Reality	Electronic Arts	<span data-sort-value="000000002011-10-18-0000" style="white-space:nowrap">October 18, 2011	
'Skylanders: Spyro''s Adventure'	Vicarious Visions	Activision, Square EnixJP	<span data-sort-value="000000002011-10-16-0000" style="white-space:nowrap">October 16, 2011	
Imagine: Fashion Designer	Ubisoft Milan	Ubisoft	<span data-sort-value="000000002011-10-11-0000" style="white-space:nowrap">October 11, 2011	
Mahjong Cub3d	Sunsoft	Sunsoft, AtlusNA	<span data-sort-value="000000002011-10-11-0000" style="white-space:nowrap">October 11, 2011	
Marvel Super Hero Squad: The Infinity Gauntlet	Griptonite Games	THQ	<span data-sort-value="000000002011-10-11-0000" style="white-space:nowrap">October 11, 2011	
Wipeout 2	Activision	Activision	<span data-sort-value="000000002011-10-11-0000" style="white-space:nowrap">October 11, 2011	
'Gabrielle''s Ghostly Groove 3D'	Funbox Media	Natsume, Santa EntertainmentJP	<span data-sort-value="000000002011-10-04-0000" style="white-space:nowrap">October 4, 2011	
Spider-Man: Edge of Time	Beenox	Activision	<span data-sort-value="000000002011-10-04-0000" style="white-space:nowrap">October 4, 2011	
Tetris Axis	Hudson Soft	Nintendo, Bandai Namco GamesJP, Tetris Online, Inc.EU	<span data-sort-value="000000002011-10-02-0000" style="white-space:nowrap">October 2, 2011	
Brunswick Pro Bowling	FarSight Studios	Crave Entertainment	<span data-sort-value="000000002011-09-27-0000" style="white-space:nowrap">September 27, 2011	
FIFA Soccer 12	EA Canada	Electronic Arts	<span data-sort-value="000000002011-09-27-0000" style="white-space:nowrap">September 27, 2011	
Deca Sports Extreme	Hudson Soft	Konami	<span data-sort-value="000000002011-09-20-0000" style="white-space:nowrap">September 20, 2011	
Frogger 3D	Alpha Unit	Konami	<span data-sort-value="000000002011-09-20-0000" style="white-space:nowrap">September 20, 2011	
Bit.Trip Saga	Gaijin Games	Aksys Games, Rising Star GamesPAL	<span data-sort-value="000000002011-09-13-0000" style="white-space:nowrap">September 13, 2011	
Pinball Hall of Fame: The Williams Collection	FarSight Studios	Crave Entertainment	<span data-sort-value="000000002011-09-13-0000" style="white-space:nowrap">September 13, 2011	
Puzzler Mind Gym 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002011-09-13-0000" style="white-space:nowrap">September 13, 2011	
Thor: God of Thunder	Red Fly Studios	Sega	<span data-sort-value="000000002011-09-13-0000" style="white-space:nowrap">September 13, 2011	
Chevrolet Camaro Wild Ride	Visual Impact	Storm City Games	<span data-sort-value="000000002011-09-12-0000" style="white-space:nowrap">September 12, 2011	
Star Fox 64 3D	Nintendo EAD, Q-Games	Nintendo	<span data-sort-value="000000002011-09-09-0000" style="white-space:nowrap">September 9, 2011	
Driver: Renegade 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002011-09-06-0000" style="white-space:nowrap">September 6, 2011	
Shin Megami Tensei: Devil Survivor Overclocked	Atlus	Atlus, GhostlightEU	<span data-sort-value="000000002011-08-23-0000" style="white-space:nowrap">August 23, 2011	
'Let''s Golf! 3D'	Gameloft	Gameloft	<span data-sort-value="000000002011-07-28-0000" style="white-space:nowrap">July 28, 2011	
Pac-Man & Galaga Dimensions	Bandai Namco Games	Bandai Namco Games	<span data-sort-value="000000002011-07-26-0000" style="white-space:nowrap">July 26, 2011	
Reel Fishing Paradise 3D	Natsume	Natsume	<span data-sort-value="000000002011-06-28-0000" style="white-space:nowrap">June 28, 2011	
Resident Evil: The Mercenaries 3D	Capcom, Tose	Capcom	<span data-sort-value="000000002011-06-28-0000" style="white-space:nowrap">June 28, 2011	
DualPenSports	indieszero	Bandai Namco Games	<span data-sort-value="000000002011-06-21-0000" style="white-space:nowrap">June 21, 2011	
Petz Fantasy 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002011-06-21-0000" style="white-space:nowrap">June 21, 2011	
The Legend of Zelda: Ocarina of Time 3D	Nintendo EAD, Grezzo	Nintendo	<span data-sort-value="000000002011-06-19-0000" style="white-space:nowrap">June 19, 2011	
Cubic Ninja	AQ Interactive	Ubisoft, AQ InteractiveJP	<span data-sort-value="000000002011-06-14-0000" style="white-space:nowrap">June 14, 2011	
Transformers: Dark of the Moon Stealth Force Edition	Behaviour Interactive	Activision	<span data-sort-value="000000002011-06-14-0000" style="white-space:nowrap">June 14, 2011	
Green Lantern: Rise of the Manhunters	Griptonite Games	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002011-06-07-0000" style="white-space:nowrap">June 7, 2011	
Cartoon Network: Punch Time Explosion	Papaya Studio	Crave Entertainment, Deep SilverEU	<span data-sort-value="000000002011-06-02-0000" style="white-space:nowrap">June 2, 2011	
BlazBlue: Continuum Shift II	Arc System Works	Arc System WorksJP, Aksys GamesNA	<span data-sort-value="000000002011-05-31-0000" style="white-space:nowrap">May 31, 2011	
Dead or Alive: Dimensions	Team Ninja	Tecmo Koei, NintendoPAL	<span data-sort-value="000000002011-05-24-0000" style="white-space:nowrap">May 24, 2011	
SpongeBob SquigglePants 3D	WayForward Technologies	THQ	<span data-sort-value="000000002011-05-17-0000" style="white-space:nowrap">May 17, 2011	
Dream Trigger 3D	Art	D3 Publisher	<span data-sort-value="000000002011-05-10-0000" style="white-space:nowrap">May 10, 2011	
Lego Pirates of the Caribbean: The Video Game	'Traveller''s Tales'	Disney Interactive Studios	<span data-sort-value="000000002011-05-10-0000" style="white-space:nowrap">May 10, 2011	
Rabbids: Travel in Time 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002011-04-10-0000" style="white-space:nowrap">April 10, 2011	
'Tom Clancy''s Splinter Cell 3D'	Ubisoft Montreal	Ubisoft	<span data-sort-value="000000002011-04-10-0000" style="white-space:nowrap">April 10, 2011	
Asphalt 3D	Gameloft, Konami	Ubisoft, KonamiJP	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Bust-a-Move Universe	Arika, Taito Corporation	Square Enix	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Combat of Giants: Dinosaurs 3D	Ubisoft Quebec	Ubisoft	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Lego Star Wars III: The Clone Wars	'Traveller''s Tales'	LucasArts	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Madden NFL Football	EA Sports	EA Sports	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Nintendogs + Cats: French Bulldog & New Friends	Nintendo EAD	Nintendo	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Nintendogs + Cats: Golden Retriever & New Friends	Nintendo EAD	Nintendo	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Nintendogs + Cats: Toy Poodle & New Friends	Nintendo EAD	Nintendo	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Pilotwings Resort	Monster Games	Nintendo	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Pro Evolution Soccer 2011	Konami	Konami	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Rayman 3D	Ubisoft	Ubisoft	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Ridge Racer 3D	Bandai Namco Games, Xeen	Bandai Namco Games	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Samurai Warriors: Chronicles	Omega Force	Tecmo Koei	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
The Sims 3	Maxis, Edge of Reality	Electronic Arts	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Steel Diver	Nintendo EAD, Vitei	Nintendo	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Super Monkey Ball 3D	Amusement Vision	Sega	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
Super Street Fighter IV: 3D Edition	Dimps, Capcom	Capcom	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
'Tom Clancy''s Ghost Recon: Shadow Wars'	Ubisoft	Ubisoft	<span data-sort-value="000000002011-03-27-0000" style="white-space:nowrap">March 27, 2011	
